hour,elec_load(MW),heating_load(MW),cooling_load(MW),elec_price(HKD/MWh),gas_price(HKD/m^3),PV
0,28.10636593920583,1110.3967873643612,0.0,364.8,2.87,0.0
1,28.10636593920583,1238.7834763590392,0.0,364.8,2.87,0.0
2,28.093093836395667,1398.7613095690615,0.0,364.8,2.87,0.0
3,28.093093836395667,112.04335350458027,0.0,364.8,2.87,0.0
4,28.093093836395667,1360.0971854778654,0.0,364.8,2.87,0.0
5,28.079821733570192,1517.4842744192777,0.0,364.8,2.87,0.0
6,34.437986017217476,1899.4861606052928,0.0,364.8,2.87,4.175838117827448e-07
7,50.24780091176654,2873.6978098376426,0.0,864.5,2.87,4.175838117827448e-07
8,113.35064966352222,1918.4493772386809,0.0,864.5,2.87,4.175838117827448e-07
9,113.84875222836091,1247.6882181145459,0.11525125260411204,864.5,2.87,4.175838117827448e-07
10,167.1090121724901,1027.5450939385735,0.1577408574089688,1390.2,2.87,5.77305679894564e-06
11,142.42536569234449,1036.33806581462,0.14169663639534658,1390.2,2.87,0.0921473552279387
12,134.8044647903699,1011.8290048154795,0.2197766494847408,1390.2,2.87,0.2669799317173558
13,145.76826583178575,1037.2162928561029,0.2226022633871902,1390.2,2.87,0.3901704432048609
14,113.82418174949873,892.2358565113415,0.2226022633871902,1390.2,2.87,0.4736631109956805
15,113.33542954672879,1151.851523883998,0.21220558438868103,864.5,2.87,0.4994075684904123
16,115.8725294718034,1275.3343661940378,0.0,864.5,2.87,0.4456488272823024
17,146.345813202517,1387.2486670409405,0.05971452939819069,864.5,2.87,0.4195641395219113
18,145.4549125846315,1560.0964354513133,0.0,1390.2,2.87,0.2723617776505749
19,199.5060633622044,1698.0343837471823,0.030958111048863757,1390.2,2.87,0.0146261233514206
20,216.69089278440578,1701.2155510001319,0.13208125020693587,1390.2,2.87,4.175838117827448e-07
21,186.2601197190794,1646.8973854673836,0.0,864.5,2.87,0.0
22,180.0988861517025,1651.8897720058467,0.0,864.5,2.87,0.0
23,98.92328422154162,1031.1239471183853,0.0,364.8,2.87,0.0
24,28.10636593920583,1049.644553183555,0.0,364.8,2.87,0.0
25,28.10636593920583,1038.1296869287353,0.0,364.8,2.87,0.0
26,28.093093836395667,1027.5906530070652,0.0,364.8,2.87,0.0
27,28.093093836395667,1030.3237940916486,0.0,364.8,2.87,0.0
28,28.093093836395667,1047.7458882429787,0.0,364.8,2.87,0.0
29,28.079821733570192,1082.7186073907453,0.0,364.8,2.87,0.0
30,34.437986017217476,1396.7015314474136,0.0,364.8,2.87,4.175838117827448e-07
31,50.24780091176654,2370.689521030258,0.0,864.5,2.87,4.175838117827448e-07
32,113.35064966352222,2102.8168447929497,0.005705507554658735,864.5,2.87,4.175838117827448e-07
