hour,elec_load(MW),heating_load(MW),cooling_load(MW),elec_price(HKD/MWh),gas_price(HKD/m^3),PV
56,126.31991631714219,482.20884313072474,36.52193074395403,864.5,2.87,0.0097265266307187
57,128.7133527435347,142.33604422283472,43.63870883028163,864.5,2.87,0.1538951641059208
58,174.58515635433636,123.08166867461976,46.437883277529316,1390.2,2.87,0.324034911567152
59,151.70156835974242,124.18240735170399,48.47044779522125,1390.2,2.87,0.4961005548990945
60,138.50075412894833,106.38176922057846,50.96440893747729,1390.2,2.87,0.6014846855748707
61,156.65930705885674,99.82963532115392,54.89913443718083,1390.2,2.87,0.6417431035206356
62,128.15924254420287,98.4916663635816,59.58599405389336,1390.2,2.87,0.6139891272955791
63,128.1044424006383,113.23910896111185,54.42569438808279,864.5,2.87,0.5554672130508165
64,133.99002983258444,147.600513859441,38.74786680891082,864.5,2.87,0.4178127520354894
65,151.60632207807706,716.8231500524038,28.232549587983733,864.5,2.87,0.2811529573114301
66,150.72839225901186,717.6889484811036,2.9984919927832903,1390.2,2.87,0.0021570156279952
67,195.47717976210598,581.5831818202237,3.6455107712966175,1390.2,2.87,8.812766888292277e-07
68,210.48280959356538,535.168516089786,3.3974512785138806,1390.2,2.87,8.812766888292277e-07
69,162.02291329094302,492.6728827070915,0.24456676425408505,864.5,2.87,0.0
70,154.62006403432602,954.6110750916177,0.0,864.5,2.87,0.0
71,86.92352854723981,332.5133184973047,0.0,364.8,2.87,0.0
72,21.365769474353915,292.8779360960603,0.0,364.8,2.87,0.0
73,21.365769474353915,267.03128295063925,0.0,364.8,2.87,0.0
74,21.364281372334908,251.31783075217703,0.0,364.8,2.87,0.0
75,21.364281372334908,242.6019836438767,0.0,364.8,2.87,0.0
76,21.364281372334908,237.87278856784746,0.0,364.8,2.87,0.0
77,21.3627932703159,235.23975471957343,0.0,364.8,2.87,0.0
78,29.30516477649514,257.81206512207183,0.41374131792521707,364.8,2.87,8.812766888292277e-07
79,40.52103504559227,1146.6466228216816,0.3284559276435009,864.5,2.87,8.812766888292277e-07
80,126.31991631714219,757.6469514380342,34.20000361008949,864.5,2.87,0.0056122154523754
81,128.7133527435347,239.28267677117313,37.8507589402679,864.5,2.87,0.1677416429962984
82,174.58515635433636,214.83390388994866,37.527343921308855,1390.2,2.87,0.3672987243680208
83,151.70156835974242,209.4524293254942,37.43943453909836,1390.2,2.87,0.535829157236981
84,138.50075412894833,182.14390666117106,38.91281769729043,1390.2,2.87,0.6360713960572045
85,156.65930705885674,163.8507123953441,43.62773640971985,1390.2,2.87,0.6865645137384208
86,128.15924254420287,148.46850701333824,51.900429930137705,1390.2,2.87,0.652119171762986
87,128.1044424006383,128.40013180168253,64.06219292267657,864.5,2.87,0.5270585063236707
88,133.99002983258444,115.53780534069205,72.64049827718931,864.5,2.87,0.3166827363932817
89,151.60632207807706,702.5189409157085,75.7574628107445,864.5,2.87,0.2149079157544557
90,150.72839225901186,671.2849475906199,20.241410404028496,1390.2,2.87,0.0015853534106007
91,195.47717976210598,527.288635146851,14.324048683916612,1390.2,2.87,8.812766888292277e-07
92,210.48280959356538,488.67793287753966,7.007864851589919,1390.2,2.87,8.812766888292277e-07
93,162.02291329094302,435.205174893412,0.3496036306241488,864.5,2.87,0.0
94,154.62006403432602,915.8301178560873,0.0,864.5,2.87,0.0
95,86.92352854723981,338.02411044193445,0.0,364.8,2.87,0.0
96,21.365769474353915,287.56912622503427,0.0,364.8,2.87,0.0
97,21.365769474353915,259.20848990744133,0.0,364.8,2.87,0.0
98,21.364281372334908,247.12482461519272,0.0,364.8,2.87,0.0
99,21.364281372334908,246.5666753977496,0.0,364.8,2.87,0.0
100,21.364281372334908,252.52266445798548,0.0,364.8,2.87,0.0
101,21.3627932703159,260.92009284389906,0.0,364.8,2.87,0.0
102,29.30516477649514,295.01801894827054,0.3888097408617606,364.8,2.87,8.812766888292277e-07
103,40.52103504559227,1316.8310284786364,0.2543461306743322,864.5,2.87,8.812766888292277e-07
104,126.31991631714219,874.9651898598536,0.30331445919347444,864.5,2.87,0.0093672489004123
105,128.7133527435347,276.7462392037812,0.6668616213801407,864.5,2.87,0.0845528033434192
106,174.58515635433636,234.20150368412206,1.054661607785284,1390.2,2.87,0.1931691367805509
107,151.70156835974242,214.33805024446613,1.201232271338608,1390.2,2.87,0.2839383485517223
108,138.50075412894833,167.28727428028006,1.60694611951334,1390.2,2.87,0.3420311168541562
109,156.65930705885674,134.28510463778417,2.472085894876784,1390.2,2.87,0.3330124679423887
110,128.15924254420287,118.24290726083395,3.7819636146539573,1390.2,2.87,0.2575822884374439
111,128.1044424006383,88.50102860632234,4.948345389891029,864.5,2.87,0.1946008129104638
112,133.99002983258444,93.21453569048565,4.271111803808253,864.5,2.87,0.166612350507365
113,151.60632207807706,537.5723609918928,3.9248514908434395,864.5,2.87,0.0664864312193403
114,150.72839225901186,583.0872243638815,4.516106278567349,1390.2,2.87,0.0038184014505187
115,195.47717976210598,481.5235086067356,4.586230434209493,1390.2,2.87,8.812766888292277e-07
116,210.48280959356538,469.0208233614596,3.8093268143849564,1390.2,2.87,8.812766888292277e-07
117,162.02291329094302,436.28631249560624,0.2188079172237884,864.5,2.87,0.0
118,154.62006403432602,846.0721635706868,0.0,864.5,2.87,0.0
119,86.92352854723981,292.37945187082863,0.0,364.8,2.87,0.0
120,21.365769474353915,263.8064124015836,0.0,364.8,2.87,0.0
121,21.365769474353915,246.21397546398572,0.0,364.8,2.87,0.0
122,21.364281372334908,237.23202285147732,0.0,364.8,2.87,0.0
123,21.364281372334908,234.1910078653122,0.0,364.8,2.87,0.0
124,21.364281372334908,234.36463849325392,0.0,364.8,2.87,0.0
125,21.3627932703159,235.84905458481632,0.0,364.8,2.87,0.0
126,25.44889233490198,248.64385297195284,0.41002070600640306,364.8,2.87,8.812766888292277e-07
127,23.781122165169705,499.8231971877058,0.28452829091293774,864.5,2.87,8.812766888292277e-07
128,74.02404545587947,1171.7939120979202,0.5235274113353452,864.5,2.87,0.008682042719895
129,73.67183564402833,829.5432149771804,1.0970335671758369,864.5,2.87,0.0959356447431534
130,120.12536378660693,631.2322699648624,1.583856325638925,1390.2,2.87,0.2272412471535649
131,120.12238758256564,585.5575827461586,1.5953319083435906,1390.2,2.87,0.3633406956015462
132,99.52733507737985,543.2291354683969,1.6541805787755601,1390.2,2.87,0.3972438916353527
133,104.71284251830873,630.5611961395119,2.2301322015569918,1390.2,2.87,0.446186709221355
134,73.73151275946536,715.6207863177543,3.196762389833821,1390.2,2.87,0.2835242317564624
135,73.6675518207579,627.1109034795527,4.26800387553383,864.5,2.87,0.258850123790025
136,79.87148390401629,436.63726426450586,4.3163462042624055,864.5,2.87,0.1620765827038716
137,126.45958569201484,411.2892595999911,4.560263830590879,864.5,2.87,0.1146062971059145
138,141.3169761089732,505.57305745771083,5.343562573610248,1390.2,2.87,0.0042956843404693
139,187.4442004399303,451.10377380069366,4.835831280695164,1390.2,2.87,8.812766888292277e-07
140,203.82826709925595,496.804821524599,3.2330059182589586,1390.2,2.87,8.812766888292277e-07
141,161.31770542933143,537.6721595486208,0.1683094442417936,864.5,2.87,0.0
142,154.23219971044043,584.2662961454295,0.0,864.5,2.87,0.0
143,86.92352854723981,898.4042485584222,0.0,364.8,2.87,0.0
144,21.365769474353915,423.38870214869513,0.0,364.8,2.87,0.0
145,21.365769474353915,361.86470666157476,0.0,364.8,2.87,0.0
146,21.364281372334908,330.9018613522368,0.0,364.8,2.87,0.0
147,21.364281372334908,316.02593379803767,0.0,364.8,2.87,0.0
148,21.364281372334908,309.18315321462217,0.0,364.8,2.87,0.0
149,21.3627932703159,306.3260256225056,0.0,364.8,2.87,0.0
150,25.44889233490198,319.04906887657955,0.3464457640291557,364.8,2.87,8.812766888292277e-07
151,23.781122165169705,633.6145002920648,0.20981469456191942,864.5,2.87,8.812766888292277e-07
152,74.02404545587947,1376.4982869201938,0.2969661515645078,864.5,2.87,0.0094527539452385
153,73.67183564402833,963.3774916029705,0.7760353008531299,864.5,2.87,0.1303313471813439
154,120.12536378660693,681.5206349287263,1.2651435267308122,1390.2,2.87,0.3114067844478027
155,120.12238758256564,580.1278611715318,1.4727676980802666,1390.2,2.87,0.4896257204790362
156,99.52733507737985,498.2440483112662,1.7037878806859237,1390.2,2.87,0.4224499794250815
157,104.71284251830873,593.3145831856644,2.387702846808185,1390.2,2.87,0.4631204044325791
158,73.41416922173936,588.6046728974229,3.446279946954932,1390.2,2.87,0.5675881392982663
159,73.35020828303516,486.4975091179341,4.513800938185293,864.5,2.87,0.4702240550624425
160,79.55414036629027,394.4144506475297,4.237816762842241,864.5,2.87,0.2966329183908785
161,126.14224215429208,408.7184561936587,3.8580083123582813,864.5,2.87,0.3013564375169963
162,141.3169761089732,518.4038960616981,4.295808176117549,1390.2,2.87,0.0092260557338236
163,187.4442004399303,463.5754098414028,4.081542316346136,1390.2,2.87,8.812766888292277e-07
164,203.82826709925595,496.3053674805894,2.9879148362827217,1390.2,2.87,8.812766888292277e-07
165,161.31770542933143,526.8265706145131,0.14798648938291223,864.5,2.87,0.0
166,154.23219971044043,559.3100689721708,0.0,864.5,2.87,0.0
167,86.92352854723981,806.0632177197948,0.0,364.8,2.87,0.0
168,21.365769474353915,378.8901389795028,0.0,364.8,2.87,0.0
169,21.365769474353915,328.8825886578962,0.0,364.8,2.87,0.0
170,21.364281372334908,304.96861580468175,0.0,364.8,2.87,0.0
171,21.364281372334908,294.853985153528,0.0,364.8,2.87,0.0
172,21.364281372334908,291.44617075433194,0.0,364.8,2.87,0.0
173,21.3627932703159,291.2413525265587,0.0,364.8,2.87,0.0
174,29.30516477649514,328.56395505420096,0.3239250507635601,364.8,2.87,8.812766888292277e-07
175,40.52103504559227,1458.4040473332184,0.18771124618441534,864.5,2.87,8.812766888292277e-07
176,126.31991631714219,993.651171945804,0.1338029407812839,864.5,2.87,0.0043594776724505
177,128.7133527435347,394.13675653919904,0.32574478930329176,864.5,2.87,0.1942743757234611
178,174.58515635433636,346.89070874597184,0.6868455203833393,1390.2,2.87,0.3943723435568549
179,151.70156835974242,322.5699635778764,0.777960012921577,1390.2,2.87,0.567778077111521
180,138.50075412894833,276.9424904186938,0.9523431101828629,1390.2,2.87,0.6932129927623354
181,156.65930705885674,257.565117090261,1.4548722505847587,1390.2,2.87,0.7339994879229464
182,128.15924254420287,228.59000613449552,2.242919084120744,1390.2,2.87,0.716034667880859
183,128.1044424006383,200.80649753738115,2.7925864726161733,864.5,2.87,0.6103828661045636
184,133.99002983258444,204.36790999741035,2.3902903207398016,864.5,2.87,0.4462601101124033
185,151.60632207807706,827.7375692787509,2.2267257857698324,864.5,2.87,0.3726573297788575
186,150.75917985604858,823.181828867292,2.6063076607590983,1390.2,2.87,0.0091191657842201
187,195.50796735913946,657.6847389148868,2.7441567002232623,1390.2,2.87,8.812766888292277e-07
188,210.5135971905988,620.1879351114087,2.4109954273943432,1390.2,2.87,8.812766888292277e-07
189,162.02291329094302,549.9411305799044,0.14780822272912844,864.5,2.87,0.0
190,154.62006403432602,1102.5999352889053,0.0,864.5,2.87,0.0
191,86.92352854723981,401.8565109211257,0.0,364.8,2.87,0.0
192,21.365769474353915,344.9714548015094,0.0,364.8,2.87,0.0
193,21.365769474353915,312.88896514801024,0.0,364.8,2.87,0.0
194,21.364281372334908,296.6741225865655,0.0,364.8,2.87,0.0
195,21.364281372334908,290.5461264341014,0.0,364.8,2.87,0.0
196,21.364281372334908,289.8617030241231,0.0,364.8,2.87,0.0
197,21.3627932703159,291.6474528436459,0.0,364.8,2.87,0.0
198,29.30516477649514,324.27532681846543,0.3218155449404316,364.8,2.87,8.812766888292277e-07
199,40.52103504559227,1387.145756109729,0.21402211551684017,864.5,2.87,8.812766888292277e-07
200,126.31991631714219,950.7425980955879,0.21090260189315402,864.5,2.87,0.0037251783408068
201,128.7133527435347,313.08836477992145,1.6629744676967495,864.5,2.87,0.1882356223343761
202,174.58515635433636,276.8907220609475,1.004666338227396,1390.2,2.87,0.3728506689619951
203,151.70156835974242,257.11556607025335,1.2070564161658295,1390.2,2.87,0.5457830059669279
204,138.50075412894833,210.99099657128232,1.6722964705394403,1390.2,2.87,0.6513710661458506
205,156.65930705885674,155.94832470617385,2.5289539610664566,1390.2,2.87,0.6808500634810208
206,128.15924254420287,119.01633493699255,3.632969156036547,1390.2,2.87,0.6590796925940994
207,128.1044424006383,111.88489317657671,4.386795357061403,864.5,2.87,0.5447797223371534
208,133.99002983258444,118.0366563982121,6.404614592370574,864.5,2.87,0.3958528590714553
209,151.60632207807706,677.5828423910724,12.228012642873537,864.5,2.87,0.2948395697759591
210,150.72839225901186,698.8128965184403,3.7624338420467334,1390.2,2.87,0.0086157216991296
211,195.47717976210598,564.981581622102,3.754068884380229,1390.2,2.87,8.812766888292277e-07
212,210.48280959356538,549.4818944336425,3.0260834470959717,1390.2,2.87,8.812766888292277e-07
213,162.02291329094302,507.8396734183302,0.19737258054903897,864.5,2.87,0.0
214,154.62006403432602,1010.8884202501839,0.0,864.5,2.87,0.0
215,86.92352854723981,359.9937930840515,0.0,364.8,2.87,0.0
216,21.365769474353915,317.6873263613316,0.0,364.8,2.87,0.0
217,21.365769474353915,294.20768159005087,0.0,364.8,2.87,0.0
218,21.364281372334908,283.20986237041274,0.0,364.8,2.87,0.0
219,21.364281372334908,280.21528762114474,0.002444006428359672,364.8,2.87,0.0
220,21.364281372334908,281.18926100660144,0.0,364.8,2.87,0.0
221,21.3627932703159,283.7979724895055,0.0,364.8,2.87,0.0
222,29.30516477649514,316.0331252738632,0.324736399157071,364.8,2.87,8.812766888292277e-07
223,40.52103504559227,1437.5493094164924,0.1931125083469308,864.5,2.87,8.812766888292277e-07
224,126.31991631714219,922.84600411633,14.3792751032925,864.5,2.87,0.0042206737153525
225,128.7133527435347,286.04024570861975,23.82600945719931,864.5,2.87,0.1493308664931132
226,174.58515635433636,224.6725976453975,24.658357203250773,1390.2,2.87,0.2934187067438315
227,151.70156835974242,186.64225424961168,23.319533121229604,1390.2,2.87,0.4219981311676348
228,138.50075412894833,131.9542160128572,20.786550508566613,1390.2,2.87,0.5379303395738437
229,156.65930705885674,103.00020236757699,19.781323152210224,1390.2,2.87,0.5518271666933224
230,128.15924254420287,69.14145453264685,16.189570020888045,1390.2,2.87,0.5625256450696648
231,128.1044424006383,50.79373073651268,14.423354364274092,864.5,2.87,0.4877598854242636
232,133.99002983258444,48.83470271127594,14.705235963158374,864.5,2.87,0.3392236515766935
233,151.60632207807706,472.90446005143724,22.517892868813313,864.5,2.87,0.1534360467833516
234,150.72839225901186,525.0050447550442,5.777303489232294,1390.2,2.87,0.0036211309498091
235,195.47717976210598,436.8784262595802,5.290827089271735,1390.2,2.87,8.812766888292277e-07
236,210.48280959356538,440.83060757336045,4.1820490012991245,1390.2,2.87,8.812766888292277e-07
237,162.02291329094302,416.77896956547266,0.2688887773809339,864.5,2.87,0.0
238,154.62006403432602,821.9563369877764,0.0,864.5,2.87,0.0
239,86.92352854723981,282.39624611573714,0.0,364.8,2.87,0.0
240,21.365769474353915,254.71735331906444,0.0,364.8,2.87,0.0
241,21.365769474353915,237.83058450901177,0.0,364.8,2.87,0.0
242,21.364281372334908,230.55925878396855,0.0,364.8,2.87,0.0
243,21.364281372334908,230.6578377036269,0.0,364.8,2.87,0.0
244,21.364281372334908,234.957617535372,0.0,364.8,2.87,0.0
245,21.3627932703159,240.6426400658926,0.021948136160566165,364.8,2.87,0.0
246,29.30516477649514,272.49483067650254,0.3648517818705172,364.8,2.87,8.812766888292277e-07
247,40.52103504559227,1269.3039370658455,0.2357415424629158,864.5,2.87,8.812766888292277e-07
248,126.31991631714219,821.5372691058742,21.093160241444785,864.5,2.87,0.0129187682099046
249,128.7133527435347,257.44889464136105,26.903688929783513,864.5,2.87,0.1654300481307347
250,174.58515635433636,200.37311550246986,27.830456309181738,1390.2,2.87,0.3747427268548322
251,151.70156835974242,161.20860997485718,28.25479633599931,1390.2,2.87,0.5329630224011052
252,138.50075412894833,115.28343958382034,29.084701052110642,1390.2,2.87,0.6612887798546325
253,156.65930705885674,67.71372798803783,24.397577507071524,1390.2,2.87,0.7096729645809131
254,128.15924254420287,44.32661974931217,14.46041061402,1390.2,2.87,0.7011038590764307
255,128.1044424006383,32.52495456226972,14.574270662110498,864.5,2.87,0.6084954166449635
256,133.99002983258444,30.792085479439052,11.534641412132794,864.5,2.87,0.4572976695587696
257,151.60632207807706,360.2237574517613,16.18777884230668,864.5,2.87,0.3733773563488852
258,150.72839225901186,405.4219845765945,13.961791286861219,1390.2,2.87,0.0136094606511306
259,195.47717976210598,346.66191965865806,6.964905147662557,1390.2,2.87,8.812766888292277e-07
260,210.48280959356538,359.2576249121421,5.32032202478125,1390.2,2.87,8.812766888292277e-07
261,162.02291329094302,342.8524623519723,0.34357279577029226,864.5,2.87,0.0
262,154.62006403432602,667.9232427835145,0.0,864.5,2.87,0.0
263,86.92352854723981,220.0812475499195,0.0,364.8,2.87,0.0
264,21.365769474353915,202.83909703751974,0.0,364.8,2.87,0.0
265,21.365769474353915,190.0413139175364,0.0,364.8,2.87,0.0
266,21.364281372334908,184.58008608857855,0.0,364.8,2.87,0.0
267,21.364281372334908,185.87573826469648,0.0,364.8,2.87,0.0
268,21.364281372334908,191.10998025324355,0.0,364.8,2.87,0.0
269,21.3627932703159,197.83725515483934,0.0,364.8,2.87,0.0
270,29.30516477649514,227.72534571494464,0.41385722483857584,364.8,2.87,8.812766888292277e-07
271,40.52103504559227,1081.863396870849,0.30564202448989397,864.5,2.87,8.812766888292277e-07
272,126.31991631714219,661.3718034536012,34.15858753089618,864.5,2.87,0.0045988446714442
273,128.7133527435347,181.0313046666025,44.794447422008176,864.5,2.87,0.1815470873254134
274,174.58515635433636,111.08826063193294,48.58292580630513,1390.2,2.87,0.3712063765181056
275,151.70156835974242,82.7423601746822,39.85992023770436,1390.2,2.87,0.5336397753685216
276,138.50075412894833,45.123530495757684,18.51683115832885,1390.2,2.87,0.6453415832353976
277,156.65930705885674,26.20155016315643,17.270980126982025,1390.2,2.87,0.6865560135204781
278,128.15924254420287,20.19510651482151,34.681380663255965,1390.2,2.87,0.6736036080358195
279,128.1044424006383,14.033567484757466,71.10856849653739,864.5,2.87,0.5782041856531157
280,133.99002983258444,14.034929264001269,63.64312659904117,864.5,2.87,0.4401474641875798
281,151.60632207807706,179.54240738289622,39.420182622697155,864.5,2.87,0.3645651216260567
282,150.72839225901186,206.22941596800297,16.92063318721018,1390.2,2.87,0.0160975669137011
283,195.47717976210598,194.57928142320645,10.533054716576673,1390.2,2.87,8.812766888292277e-07
284,210.48280959356538,221.52324385153284,8.289069237140705,1390.2,2.87,8.812766888292277e-07
285,162.02291329094302,209.82955301343367,0.39767080811042815,864.5,2.87,0.0
286,154.62006403432602,380.3517181753455,0.0,864.5,2.87,0.0
287,86.92352854723981,103.85586883635617,0.0,364.8,2.87,0.0
288,21.365769474353915,97.38353992439262,0.0,364.8,2.87,0.0
289,21.365769474353915,87.48601547321297,0.0,364.8,2.87,0.0
290,21.364281372334908,82.50165412342203,0.0,364.8,2.87,0.0
291,21.364281372334908,84.81599197737029,0.0,364.8,2.87,0.0
292,21.364281372334908,92.36008953764193,0.0,364.8,2.87,0.0
293,21.3627932703159,101.62482156439955,0.0,364.8,2.87,0.0
294,25.44889233490198,116.593219190682,0.5202018178451837,364.8,2.87,8.812766888292277e-07
295,23.781122165169705,270.2428670071188,0.5995551032342593,864.5,2.87,8.812766888292277e-07
296,74.02404545587947,589.3339501686808,33.20031955063816,864.5,2.87,0.004565337964802
297,73.67183564402833,335.4773420425555,51.23618342945053,864.5,2.87,0.1843634426151808
298,120.12536378660693,167.36702689202605,49.34281386888002,1390.2,2.87,0.375436299253644
299,120.12238758256564,85.65549940264135,14.631803445142431,1390.2,2.87,0.5357200441484082
300,99.52733507737985,33.615522136672965,14.076823955360464,1390.2,2.87,0.665260215122082
301,104.71284251830873,53.480608972556176,14.950396642982621,1390.2,2.87,0.6907293766860472
302,73.73151275946536,76.412814459135,20.083331579999204,1390.2,2.87,0.6534796451304457
303,73.6675518207579,84.05175388596292,20.250683637300234,864.5,2.87,0.568005696195135
304,79.87148390401629,93.90659631031428,12.755905739340452,864.5,2.87,0.4266451207825941
305,126.45958569201484,145.54810375761113,10.34744266265356,864.5,2.87,0.3528335796198978
306,141.3169761089732,221.72690625607086,10.600916770664552,1390.2,2.87,0.0201478464801957
307,187.4442004399303,220.6686575230116,10.107119633284526,1390.2,2.87,8.812766888292277e-07
308,203.82826709925595,232.99977775511837,8.346959763352578,1390.2,2.87,8.812766888292277e-07
309,161.31770542933143,232.17401907495727,0.3654554483034248,864.5,2.87,0.0
310,154.23219971044043,261.591999397346,0.0,864.5,2.87,0.0
311,86.92352854723981,329.61540879711174,0.0,364.8,2.87,0.0
312,21.365769474353915,156.24026482754516,0.0,364.8,2.87,0.0
313,21.365769474353915,152.2788387515337,0.0,364.8,2.87,0.0
314,21.364281372334908,150.98402152923356,0.0,364.8,2.87,0.0
315,21.364281372334908,151.7316620324318,0.0,364.8,2.87,0.0
316,21.364281372334908,155.9646361664082,0.0,364.8,2.87,0.0
317,21.3627932703159,162.15513901186858,0.0,364.8,2.87,0.0
318,25.44889233490198,179.6046555362916,0.4644737739023202,364.8,2.87,8.812766888292277e-07
319,23.781122165169705,417.86285053883114,0.32994241529519813,864.5,2.87,8.812766888292277e-07
320,74.02404545587947,903.1535936185014,0.7589847017343073,864.5,2.87,0.0047903128885802
321,73.67183564402833,702.7457415206835,1.2974662366370362,864.5,2.87,0.1925662097083984
322,120.12536378660693,569.9608654139645,1.962478236023562,1390.2,2.87,0.3883989605137945
323,120.12238758256564,548.6684097164463,1.9252661278861987,1390.2,2.87,0.5477626925627397
324,99.52733507737985,519.99292572734,1.9731902606805438,1390.2,2.87,0.6401930538269767
325,104.71284251830873,587.2322679563204,2.5731715465476688,1390.2,2.87,0.7074300171800684
326,73.41416922173936,702.1391127479467,3.3610705510965353,1390.2,2.87,0.6876704969676747
327,73.35020828303516,666.7261479422682,3.7945412681697404,864.5,2.87,0.6191280881713958
328,79.55414036629027,526.8636603046359,3.119436717216764,864.5,2.87,0.4653998008172212
329,126.14224215429208,519.6926508366109,3.0009434528138716,864.5,2.87,0.3938851720673942
330,141.3169761089732,565.4736138313981,3.994222318212129,1390.2,2.87,0.0229152418215601
331,187.4442004399303,474.5501169394431,4.688700676298843,1390.2,2.87,8.812766888292277e-07
332,203.82826709925595,461.17547010667926,4.128932924241962,1390.2,2.87,8.812766888292277e-07
333,161.31770542933143,455.5498011954647,0.23174298553770045,864.5,2.87,0.0
334,154.23219971044043,461.77705091364294,0.0,864.5,2.87,0.0
335,86.92352854723981,722.7703877919404,0.0,364.8,2.87,0.0
336,21.365769474353915,348.8392567146643,0.0,364.8,2.87,0.0
337,21.365769474353915,292.29889315860964,0.0,364.8,2.87,0.0
338,21.364281372334908,264.05330349086205,0.0,364.8,2.87,0.0
339,21.364281372334908,250.96830991999386,0.0,364.8,2.87,0.0
340,21.364281372334908,245.52434280066083,0.0,364.8,2.87,0.0
