hour,elec_load(MW),heating_load(MW),cooling_load(MW),elec_price(HKD/MWh),gas_price(HKD/m^3),PV
0,16.8892216713995,0.5121783140715395,0.08811998120178778,364.8,2.87,0.0
1,16.8892216713995,1.0138427662771883,0.04689389281850007,364.8,2.87,0.0
2,16.886641088770915,1.4775342386174162,0.042548787813039265,364.8,2.87,0.0
3,16.886641088770915,2.1545979166974334,0.03860732644196526,364.8,2.87,0.0
4,16.886641088770915,3.637820358652643,0.03482019940168629,364.8,2.87,0.0
5,16.88406050614495,5.404848675975609,0.03239833759536368,364.8,2.87,0.0
6,26.59902656636684,25.35928528904343,1.604397383934948,364.8,2.87,1.1267000960185994e-05
7,36.36501117228516,116.75324934480014,1.9445448828510206,864.5,2.87,1.1267000960185994e-05
8,147.6233696251462,62.860478595236756,30.410953374701492,864.5,2.87,0.0408341994154708
9,150.34236404977943,30.28111902171587,21.987871092411673,864.5,2.87,0.2149043194266067
10,181.26024767241915,11.037335836800734,18.265637817784725,1390.2,2.87,0.3819576959594322
11,159.7310998676874,5.9077458461746275,56.64706952517745,1390.2,2.87,0.5214943179582029
12,142.7365134971533,3.4236654211423594,84.44842570695613,1390.2,2.87,0.5038043273065093
13,168.53299492632436,2.6565876896673055,104.72773318994986,1390.2,2.87,0.332282606203579
14,149.56686989409488,1.7708528139127537,126.51325440442821,1390.2,2.87,0.2525206121702629
15,149.47183857461866,1.4533702361467442,145.50639591065197,864.5,2.87,0.2592859722520452
16,157.79471942847866,1.3383851667309636,146.7592089060206,864.5,2.87,0.1660004139361681
17,154.2430605201853,1.5267305219099783,139.65132535450354,864.5,2.87,0.134613944850627
18,155.7335230384725,2.031496031595948,56.721805026604244,1390.2,2.87,0.0193171038376369
19,185.13020459622575,3.8247386583182745,42.119432379301955,1390.2,2.87,1.1267000960185994e-05
20,194.9966796913386,9.28133287126138,33.568714544521995,1390.2,2.87,1.1267000960185994e-05
21,128.40969527869632,11.559597463928387,11.713642553313182,864.5,2.87,0.0
22,117.8292484583647,30.121593697712548,18.24346737674957,864.5,2.87,0.0
23,68.93953003760195,1.448807206542274,6.772148192741899,364.8,2.87,0.0
24,16.8892216713995,1.7745749782477616,0.2217997844686492,364.8,2.87,0.0
25,16.8892216713995,2.142851423077257,0.04038810718190808,364.8,2.87,0.0
26,16.886641088770915,3.2408348493708097,0.02858746681188569,364.8,2.87,0.0
27,16.886641088770915,4.51348094289152,0.026248708106760426,364.8,2.87,0.0
28,16.886641088770915,5.8262538558807355,0.024883442872804078,364.8,2.87,0.0
29,16.88406050614495,7.219978258189642,0.023579559332081213,364.8,2.87,0.0
30,26.59902656636684,27.342402907689177,1.12314458482192,364.8,2.87,1.1267000960185994e-05
31,36.36501117228516,124.33088032816418,5.787682643464001,864.5,2.87,1.1267000960185994e-05
32,147.6233696251462,74.25640383253197,43.04401099377302,864.5,2.87,0.0093113729276195
