hour,elec_load(MW),heating_load(MW),cooling_load(MW),elec_price(HKD/MWh),gas_price(HKD/m^3),PV
0,22.93579547063473,894.6528427989388,0.0,364.8,2.87,0.0
1,22.93579547063473,914.1647473165348,0.0,364.8,2.87,0.0
2,22.9337336445041,930.3461250329174,0.0,364.8,2.87,0.0
3,22.9337336445041,950.768080454933,0.0,364.8,2.87,0.0
4,22.9337336445041,974.6677588858084,0.0,364.8,2.87,0.0
5,22.931671818373466,998.1115489943348,0.0,364.8,2.87,0.0
6,30.884333154645606,1378.1705282836213,0.0,364.8,2.87,1.1296558476669493e-06
7,49.55763336384002,1800.381176983771,0.08205029450956598,864.5,2.87,1.1296558476669493e-06
8,120.10116113680428,1561.425150840664,0.13339016358837866,864.5,2.87,0.0006348161247247
9,123.54978435230157,1326.4192098846574,0.13981834856052963,864.5,2.87,0.1141721499328555
10,179.44609426497482,1055.150880748238,0.0848063727541121,1390.2,2.87,0.3015935584034849
11,145.08492176754638,850.5439860435308,0.08908420893350429,1390.2,2.87,0.4288114718594758
12,145.0249073146852,726.1618073145023,0.1607401516913136,1390.2,2.87,0.5707525816755504
13,156.84886060131626,554.8336029764696,0.13531030856851908,1390.2,2.87,0.6015896867203494
14,123.21635380625963,448.95451513556554,0.16289290923577576,1390.2,2.87,0.5608987647558025
15,123.14042596897427,454.215378085911,0.2201664276302858,864.5,2.87,0.4251998433485455
16,126.88305100758963,495.9704966659106,0.17638678924946294,864.5,2.87,0.3782344656731017
17,148.67664598341634,612.6822438260342,0.0,864.5,2.87,0.0516875299401816
18,141.656023874308,773.7003292774177,0.0,1390.2,2.87,1.1296558476669493e-06
19,194.80065662219442,842.3178661747111,0.002893032420407486,1390.2,2.87,1.1296558476669493e-06
20,212.86692141216415,848.2744710201414,0.00300685664678438,1390.2,2.87,1.1296558476669493e-06
21,175.84943218470144,809.7401056149299,0.0009864766285978886,864.5,2.87,0.0
22,170.87966497905927,856.7921418924678,0.0,864.5,2.87,0.0
23,96.90879283816764,707.7578872087083,0.0,364.8,2.87,0.0
24,22.93579547063473,779.4499927518109,0.0,364.8,2.87,0.0
25,22.93579547063473,814.3028581325178,0.0,364.8,2.87,0.0
26,22.9337336445041,842.9051571608206,0.0,364.8,2.87,0.0
27,22.9337336445041,873.3756736603924,0.0,364.8,2.87,0.0
28,22.9337336445041,589.264958082848,0.0,364.8,2.87,0.0
29,22.931671818373466,912.1006755810471,0.0,364.8,2.87,0.0
30,30.884333154645606,1254.8498267599293,0.0,364.8,2.87,1.1296558476669493e-06
31,49.55763336384002,1661.3429290841964,0.21116527734193286,864.5,2.87,1.1296558476669493e-06
32,120.10116113680428,1438.4624498046412,0.16149928855912513,864.5,2.87,0.0007132754534575
33,123.54978435230157,1278.078019838033,0.17957199220335884,864.5,2.87,0.1057606458218112
34,179.44609426497482,982.9075789751886,0.12309577833130807,1390.2,2.87,0.2823352034245563
35,145.08492176754638,835.8248325906508,0.12879015501900784,1390.2,2.87,0.405977054575101
36,145.0249073146852,685.1315819524941,0.1983052343362564,1390.2,2.87,0.5286619304987774
37,156.84886060131626,462.5745604716506,0.0031017101687649293,1390.2,2.87,0.5635299334500279
38,123.21635380625963,358.3399603104406,0.010686108917018268,1390.2,2.87,0.5253852719225388
39,123.14042596897427,338.0578220474846,0.12395565450261088,864.5,2.87,0.3734830166594272
40,126.88305100758963,376.8123750189572,0.07129734770180045,864.5,2.87,0.3262934279736356
41,148.67664598341634,487.06963351891477,0.022271606961040653,864.5,2.87,0.048093617675558
42,141.60801952637476,654.4557580503999,0.0002845605659417482,1390.2,2.87,1.1296558476669493e-06
43,194.75265227426118,717.3572702293776,0.0030637687599725334,1390.2,2.87,1.1296558476669493e-06
44,212.8189170642309,713.264523215174,0.0032914172127260274,1390.2,2.87,1.1296558476669493e-06
45,175.84943218470144,650.5178778649506,0.0015366270560854263,864.5,2.87,0.0
46,170.87966497905927,670.2402468755113,0.0,864.5,2.87,0.0
47,96.90879283816764,553.0725364773596,0.0,364.8,2.87,0.0
48,22.93579547063473,625.0743433340152,0.0,364.8,2.87,0.0
49,22.93579547063473,663.0208197413878,0.0,364.8,2.87,0.0
50,22.9337336445041,690.0863116968619,0.0,364.8,2.87,0.0
51,22.9337336445041,709.6702360984584,0.0,364.8,2.87,0.0
52,22.9337336445041,724.0653338088257,0.0,364.8,2.87,0.0
53,22.931671818373466,735.3297110177513,0.0,364.8,2.87,0.0
54,30.884333154645606,991.3933268562279,0.0,364.8,2.87,1.1296558476669493e-06
55,49.55763336384002,1310.4641144632142,0.0,864.5,2.87,1.1296558476669493e-06
56,120.10116113680428,1139.4038579073276,0.0,864.5,2.87,0.0007561819936596
57,123.54978435230157,1087.7122425321925,0.0,864.5,2.87,0.1023699419689061
58,179.44609426497482,940.148624839444,0.32166399688224634,1390.2,2.87,0.268872807068941
59,145.08492176754638,862.2707606139462,0.0,1390.2,2.87,0.3841262986682747
60,145.0249073146852,812.6248266114862,0.057582990182829974,1390.2,2.87,0.5000294362785179
61,156.84886060131626,771.250213526353,0.14653956283808928,1390.2,2.87,0.5345928033934106
62,123.21635380625963,764.9680466897851,0.27230463350980916,1390.2,2.87,0.482151700223698
63,123.14042596897427,852.0187744717329,0.05820367130604674,864.5,2.87,0.3778923984594003
64,126.88305100758963,946.6411658403757,0.0,864.5,2.87,0.3395604949824364
65,148.67664598341634,1028.6923079159412,0.0,864.5,2.87,0.0508213575038539
66,141.60801952637476,1130.9170560214277,0.0,1390.2,2.87,1.1296558476669493e-06
67,194.75265227426118,1143.7170885813687,0.0,1390.2,2.87,1.1296558476669493e-06
68,212.8189170642309,1078.815734228078,0.0,1390.2,2.87,1.1296558476669493e-06
69,175.84943218470144,989.7741222533392,0.0,864.5,2.87,0.0
70,170.87966497905927,1011.9060984509399,0.0,864.5,2.87,0.0
71,96.90879283816764,828.4784407439188,0.0,364.8,2.87,0.0
72,22.93579547063473,897.9578243799593,0.0,364.8,2.87,0.0
73,22.93579547063473,937.9790366441949,0.0,364.8,2.87,0.0
74,22.9337336445041,975.8730541185276,0.0,364.8,2.87,0.0
75,22.9337336445041,1017.9336371467768,0.0,364.8,2.87,0.0
76,22.9337336445041,1062.072702733221,0.0,364.8,2.87,0.0
77,22.931671818373466,466.6399887899739,0.0,364.8,2.87,0.0
78,30.884333154645606,1394.8959640528296,0.0,364.8,2.87,1.1296558476669493e-06
79,49.55763336384002,1888.67068008671,0.0,864.5,2.87,1.1296558476669493e-06
80,120.10116113680428,1678.0320886712043,0.0,864.5,2.87,0.0006497759952644
81,123.54978435230157,1473.8621927496176,0.0,864.5,2.87,0.1121210702833292
82,179.44609426497482,1247.854581239225,0.0,1390.2,2.87,0.2958231668069634
83,145.08492176754638,1095.9386055341204,0.0,1390.2,2.87,0.4215067762496703
84,145.0249073146852,945.65445462998,0.012494468483346951,1390.2,2.87,0.5627296808458833
85,156.84886060131626,801.5628645070722,0.18106590713459703,1390.2,2.87,0.5916388760182087
86,123.21635380625963,605.6085630599522,0.5228131754270293,1390.2,2.87,0.5501750866242915
