,gas,elec,heat,cold
0,0.00830739839691021,0.01126335616229373,0.0348535891753375,0.0
1,0.009107543991234734,0.01126335616229373,0.0356137274899458,0.0
2,0.00977111110115926,0.01126327583835413,0.0362441162443741,0.0
3,0.032705474270281684,0.01126327583835413,0.037039708020743106,0.0
4,0.011588655873822209,0.01126327583835413,0.0379707837784039,0.0
5,0.012550040517370948,0.01126319551441453,0.0388840991897752,0.0
6,0.032705474270281684,0.011572993971184284,0.0536903110440909,0.0
7,0.032705474270281684,0.012300462216859183,0.0701386536763122,3.1964882016191875e-06
8,0.032705474270281684,0.01503818938076104,0.060829483942824,5.196569819412337e-06
9,0.032705474270281684,0.010848868987062785,0.0516742003199394,5.446996920791125e-06
10,0.032705474270281684,0.0020009897948312615,0.0411062185870229,3.3038585851636792e-06
11,0.030931441323650118,0.0,0.0331352109410079,3.470513110386529e-06
12,0.019397195434675028,0.0,0.0282895712126499,6.262061598668102e-06
13,0.012235716054312108,0.0,0.0216150237653245,5.271374191670892e-06
14,0.0061503955798122125,0.0,0.0174902213242779,6.345928014175205e-06
15,0.032705474270281684,0.0,0.0176951722809031,8.577170777014118e-06
16,0.016740519957883445,0.0,0.0193218543628622,6.87161812309721e-06
17,0.032705474270281684,0.004936934559247562,0.0238686719583091,0.0
18,0.032705474270281684,0.005518569777143455,0.0301415612083611,0.0
19,0.032705474270281684,0.007588960780288455,0.0328147404873312,0.0
20,0.032705474270281684,0.008292780341127855,0.0330467959263023,0.0
21,0.032705474270281684,0.007033524838047062,0.0315455868799377,0.0
22,0.032705474270281684,0.007544928772846477,0.0333786245274232,0.0
23,0.0006431965153286335,0.01414517169674203,0.027572597387835,0.0
24,0.0035831515743763183,0.01126335616229373,0.0303655546939303,0.0
25,0.005012400403408321,0.01126335616229373,0.03172346546017756,0.0
26,0.006185325554533897,0.01126327583835413,0.03283761997508,0.0
27,0.007434862703095582,0.01126327583835413,0.0340246802662136,0.0
28,0.0,0.01126327583835413,0.0229563890952255,0.0
29,0.009022900387939582,0.01126319551441453,0.0355333160668154,0.0
30,0.032705474270281684,0.011572993971184284,0.0488860239931782,0.0
31,0.032705474270281684,0.012300462216859183,0.0647220476587314,8.226506944913342e-06
32,0.032705474270281684,0.014270499939489553,0.056039143756354,6.2916358013675214e-06
33,0.032705474270281684,0.010263705027421448,0.0497909402468357,6.995706204959048e-06
34,0.032705474270281684,0.002319615848680856,0.0382917879607362,4.795524567669672e-06
35,0.03136179253499242,0.0,0.032561787035205,5.017364208911742e-06
36,0.01962051345863352,0.0,0.0266911292806207,7.725509648247127e-06
37,0.010175717696915887,0.0,0.0180208265400488,0.0
38,0.004042538380380749,0.0,0.013960089505437,0.0
39,0.010080931470958572,0.0,0.0131699446796486,4.829023338793561e-06
40,0.0142059946197807,0.0,0.014679731720302,2.7775784608423955e-06
41,0.019973786825266526,0.004996395197708718,0.0189750974840032,0.0
42,0.032705474270281684,0.005516699639653855,0.0254960706916895,0.0
43,0.029417438918536633,0.007587090642798855,0.0279465669726098,0.0
44,0.029249603252410526,0.008290910203638254,0.02778712308979,0.0
45,0.02667648427315621,0.0068506839445201,0.0253426600594984,0.0
46,0.027485260610658844,0.0066570733995174,0.0261109975801259,0.0
47,0.0,0.01414517169674203,0.0215464167198493,0.0
48,0.0,0.01126335616229373,0.0243514392671569,0.0
49,0.0,0.01126335616229373,0.0258297455286298,0.0
50,0.0,0.01126327583835413,0.0268841540011869,0.0
51,0.0007216182571716834,0.01126327583835413,0.0276470980425859,0.0
52,0.0013119334671725276,0.01126327583835413,0.0282078974920867,0.0
53,0.0017738638639927388,0.01126319551441453,0.0286467313690659,0.0
54,0.032705474270281684,0.011572993971184284,0.0386223729165342,0.0
55,0.032705474270281684,0.009616179809621107,0.0510526269962214,0.0
56,0.032705474270281684,0.009788780217462495,0.0443885181698589,0.0
57,0.032705474270281684,0.0074674163456272345,0.0423747333363384,0.0
58,0.032705474270281684,0.0025423487991764818,0.03662575611232315,1.253127946786217e-05
59,0.032705474270281684,0.0,0.03359205874126791,0.0
60,0.026145261197962334,0.0,0.0316579688852135,2.243299062283196e-06
61,0.024144200851410173,0.0,0.0300461104103147,5.708839760810046e-06
62,0.022675212977659023,0.0,0.0298013718351064,1.0608353735511085e-05
63,0.032705474270281684,0.0,0.0331926652602009,2.267479351935884e-06
64,0.032705474270281684,0.0015592278386063977,0.0368789330478637,0.0
65,0.032705474270281684,0.008414824347935604,0.0400754542686784,0.0
66,0.032705474270281684,0.005516699639653855,0.0440578921524886,0.0
67,0.032705474270281684,0.007587090642798855,0.044556551582083,0.0
68,0.032705474270281684,0.008290910203638254,0.0420281461120062,0.0
69,0.032705474270281684,0.009731103914929793,0.0385592924798328,0.0
70,0.032705474270281684,0.00986911267740844,0.0394215026792843,0.0
71,0.005593713722324318,0.01414517169674203,0.0322755887344809,0.0
72,0.008442929321069477,0.01126335616229373,0.0349823435532888,0.0
73,0.032705474270281684,0.01126335616229373,0.036541476687201105,0.0
74,0.032705474270281684,0.01126327583835413,0.03801773927093301,0.0
75,0.013362906144669685,0.01126327583835413,0.039656321535709,0.0
76,0.01517296414463295,0.01126327583835413,0.0413758766356741,0.0
77,0.0,0.01126319551441453,0.0181792061501614,0.0
78,0.032705474270281684,0.011572993971184284,0.0543418950319702,0.0
79,0.032705474270281684,0.012300462216859183,0.0735782069001274,0.0
80,0.032705474270281684,0.015037941872366819,0.0653722184111178,0.0
81,0.032705474270281684,0.01309204792657279,0.0574182352189785,0.0
