,gas,elec,heat,cold
0,0.0,0.0006512130374000368,1.950072309635593e-05,3.355088072768611e-06
1,0.0,0.0007013493766350445,3.860114047244385e-05,1.7854422837512772e-06
2,0.0,0.0007012511233004445,5.625577120517994e-05,1.6200063658138177e-06
3,0.0,0.0007012511233004445,8.203435444873854e-05,1.4699388118377602e-06
4,0.0,0.0007012511233004445,0.0001385066988183,1.3257473970234164e-06
5,0.0,0.0007011528699659445,0.0002057846935573,1.2335372132549962e-06
6,0.0,0.001070838437209222,0.0009655317040113,6.108596998556876e-05
7,0.0,0.0013843617765978773,0.0044452736937916,7.403677638646972e-05
8,0.0,0.004885187959388271,0.0023933555035657,0.001157869368076
9,0.0,0.0018536506466467844,0.0011529260432682,0.0008371681773149
10,0.0,2.213424747576822e-05,0.0004202365152166,0.000695447533558
11,0.0,0.0,0.0002249320455489,0.002156785608998301
12,0.0,0.0,0.0001303529445078,0.0032152969393478004
13,0.0,0.0004322205136591088,0.0001011471581168,0.0039874131124595
14,0.0,0.0011466425137266634,6.742360896539613e-05,0.0048168770023617
15,0.0,0.0010211779055395677,5.533574880646819e-05,0.0055400235766445
16,0.0,0.003018167839429485,5.095779695398268e-05,0.0055877232910662
17,0.0,0.003448222369516645,5.812887491047295e-05,0.0053170970948155
18,0.0,0.0055815046907081965,7.734736222737677e-05,0.0021596310951869
19,0.0,0.007048461102230177,0.0001456234429351,0.0016036590484964
20,0.0,0.007424118160486677,0.0003533783007109,0.0012780982502549
21,0.0,0.0048890822624082,0.0004401211512792,0.0004459862778375
22,0.0,0.004486241380609,0.0011468522617652,0.0006946034141963
23,0.0,0.0026831174887216444,5.516201560779e-05,0.0002578433780695
24,0.0,0.0007013493766350445,6.756532698433977e-05,8.44482489969386e-06
25,0.0,0.0007013493766350445,8.158711739643302e-05,1.5377404175498335e-06
26,0.0,0.0007012511233004445,0.0001233918369097,1.088441777031158e-06
27,0.0,0.0007012511233004445,0.0001718466784904,0.0
28,0.0,0.0007012511233004445,0.0002218293121968,0.0
29,0.0,0.0007011528699659445,0.0002748941001727,0.0
30,0.0,0.001070838437209222,0.0010410371022022,4.27627077212111e-05
31,0.0,0.0013843617765978773,0.0047337850959208,0.0002203607483936
32,0.0,0.0054529245115062415,0.002827244983799,0.0016388615376418
33,0.0,0.004964781213489351,0.0017600378213786,0.0015062705255595
34,0.0,0.004976620730277221,0.0008334400233564,0.000797956906147
35,0.0,0.0033621719531694953,0.0005324295308736,0.0009134924468429
36,0.0,0.00034888117783815533,0.0002673784232851,0.0020323819057345
37,0.0,0.0008318299460497013,0.0001631853145398,0.0031746031746031746
38,0.0,0.0004387516080984685,8.365078664373724e-05,0.0043535029890947
39,0.0,0.0,6.079361653167268e-05,0.005789820930037199
40,0.0,0.0008451376351618859,5.64443346743646e-05,0.0057647691425261
41,0.0,0.0040907003047231,6.588297096046445e-05,0.0047940028788501
42,0.0,0.005783551338372377,9.990665424343012e-05,0.0023042373465083
43,0.0,0.007047247725883777,0.000198926138306,0.0016866565088126
44,0.0,0.007422904784140277,0.0004722878662248,0.0013052657965329
45,0.0,0.0048890822624082,0.0005705645828556,0.0007516322617285
46,0.0,0.004486241380609,0.0012733200612801,0.000484148419174
47,0.0,0.0026831174887216444,6.558336970926109e-05,2.50140580827528e-05
48,0.0,0.0007013493766350445,8.067439770202208e-05,1.0974819911261017e-06
49,0.0,0.0007013493766350445,0.000106429469017,1.0305844068235218e-06
50,0.0,0.0007012511233004445,0.0001550472895363,0.0
51,0.0,0.0007012511233004445,0.0002016174554171,1.0231312205625772e-06
52,0.0,0.0007012511233004445,0.0002427377756687,1.321362825190613e-06
53,0.0,0.0007011528699659445,0.0003002707528941,3.1765657910293115e-06
54,0.0,0.001070838437209222,0.0010367573206422,4.16846152590426e-05
55,0.0,0.0013843617765978773,0.0046242403206408,0.0005210751121802
56,0.0,0.005476035969331274,0.0026214178027723,0.001841056745024
57,0.0,0.00455204885144671,0.0012110559704026,0.0009969533897004
58,0.0,0.004619084825194755,0.0004975712914409,0.0009109905339566
59,0.0,0.0025206763213176915,0.0002836941596179,0.002231579498865
60,0.0,0.0,0.0001453291384649,0.0036722094427593
61,0.0,0.0,0.0001013466595983,0.0044066369224637
62,0.0,0.0,6.685014245643505e-05,0.0051171632534712
63,0.0,0.0035340220973923376,5.227107357063187e-05,0.0056354072354391
64,0.0,0.004423627155620614,4.631612134192589e-05,0.0056653793893975
65,0.0,0.0048273922872134655,5.087931883628748e-05,0.0053599629340116
66,0.0,0.005831517265002662,6.764129137732248e-05,0.0031392185039983
67,0.0,0.007047247725883777,0.0001192805612877,0.0021123471335142
68,0.0,0.007422904784140277,0.000236472275329,0.0013870898368458
69,0.0,0.0048890822624082,0.0002146868376213,0.0005533190512815
70,0.0,0.004486241380609,0.0007320229553746,0.0009407011156934
71,0.0,0.0026831174887216444,4.529233529265428e-05,2.726803586158049e-05
72,0.0,0.0007013493766350445,5.769897393060214e-05,2.965645089796641e-06
73,0.0,0.0007013493766350445,7.190315373024765e-05,1.7995236907372582e-06
74,0.0,0.0007012511233004445,9.108432815035018e-05,1.680609312712346e-06
75,0.0,0.0007012511233004445,0.0001481566327071091,2.0082836148338687e-06
76,0.0,0.0007012511233004445,0.0002190807214667,1.5816742246459491e-06
77,0.0,0.0007011528699659445,0.0002840728223643,4.320273396096342e-06
78,0.0,0.001070838437209222,0.0010063694957215,4.3290551635236575e-05
79,0.0,0.0013843617765978773,0.0044594778904603,0.0004944857016877
80,0.0,0.0051624488991552225,0.0024717840957657,0.0017949285375744
